customer_id,gender,married,dependents,senior_citizen,tenure,phone_service,internet_service,paperless_billing,contract_type,payment_method,monthly_charges,total_charges,churn
0080-OROZO,Female,No,No,No,35,Yes,Fiber,Yes,Annually,eCheck,99.25,3532,No
0082-LDZUE,Male,No,No,No,1,Yes,DSL,Yes,Monthly,Check,44.3,44.3,No
0082-OQIQY,Male,No,No,No,29,Yes,Fiber,Yes,Monthly,eCheck,94.2,2607.6,No
0083-PIVIK,Male,No,No,No,64,Yes,DSL,No,Annually,eCheck,81.25,5567.55,No
0089-IIQKO,Female,Yes,Yes,No,39,Yes,Fiber,Yes,Monthly,Credit (auto),99.95,3767.4,No
0093-EXYQL,Female,No,No,Yes,40,Yes,Fiber,Yes,Monthly,eCheck,91.55,3673.6,No
0093-XWZFY,Male,No,No,No,40,Yes,Fiber,Yes,Monthly,Credit (auto),104.5,4036.85,Yes
0094-OIFMO,Female,No,No,Yes,11,Yes,Fiber,Yes,Monthly,eCheck,95,1120.3,Yes
0096-BXERS,Female,Yes,No,No,6,Yes,DSL,No,Monthly,eCheck,50.35,314.55,No
0096-FCPUF,Male,No,No,No,30,Yes,DSL,Yes,Monthly,Check,64.5,1888.45,No
0098-BOWSO,Male,No,No,No,27,Yes,No,Yes,Monthly,eCheck,19.4,529.8,No
0100-DUVFC,Male,Yes,No,Yes,70,Yes,Fiber,Yes,Annually,eCheck,104.8,7308.95,No
0103-CSITQ,Female,Yes,No,No,57,Yes,Fiber,Yes,Annually,Wire (auto),109.4,6252.7,No
0104-PPXDV,Male,Yes,No,No,58,Yes,DSL,No,Annually,Credit (auto),50.3,2878.55,No
0106-GHRQR,Male,No,No,No,16,Yes,DSL,Yes,Monthly,Wire (auto),71.4,1212.1,No
0106-UGRDO,Female,Yes,No,No,69,Yes,Fiber,Yes,Biannually,eCheck,116,8182.85,No
0107-WESLM,Male,No,No,No,1,Yes,No,Yes,Monthly,eCheck,19.85,19.85,Yes
0107-YHINA,Male,No,Yes,No,1,Yes,Fiber,Yes,Monthly,eCheck,99.75,99.75,Yes
0111-KLBQG,Male,Yes,Yes,Yes,32,Yes,Fiber,Yes,Monthly,Check,93.95,2861.45,No
0112-QAWRZ,Male,Yes,Yes,No,16,Yes,Fiber,Yes,Monthly,Wire (auto),90.8,1442.2,No
0112-QWPNC,Male,Yes,No,No,49,Yes,DSL,No,Annually,eCheck,84.35,4059.35,Yes
0114-IGABW,Female,Yes,No,No,71,No,DSL,No,Biannually,Wire (auto),58.25,4145.9,No
0114-PEGZZ,Female,No,No,No,33,Yes,Fiber,No,Monthly,eCheck,107.55,3645.5,No
0114-RSRRW,Female,Yes,No,No,10,Yes,No,Yes,Monthly,Wire (auto),19.95,187.75,No
0115-TFERT,Male,Yes,No,No,21,Yes,Fiber,Yes,Monthly,eCheck,111.2,2317.1,Yes
0117-LFRMW,Male,Yes,Yes,No,37,No,DSL,No,Monthly,Wire (auto),40.2,1448.8,Yes
0118-JPNOY,Female,No,No,Yes,26,Yes,Fiber,Yes,Monthly,Credit (auto),85.8,2193.65,No
0121-SNYRK,Male,No,No,No,50,No,DSL,Yes,Annually,Check,35.4,1748.9,No
0122-OAHPZ,Female,No,No,No,7,Yes,Fiber,Yes,Monthly,eCheck,73.85,511.25,Yes
0123-CRBRT,Female,Yes,Yes,No,61,Yes,DSL,No,Biannually,Check,88.1,5526.75,No
0125-LZQXK,Male,No,No,No,15,Yes,Fiber,Yes,Monthly,eCheck,101.35,1553.95,Yes
0128-MKWSG,Female,No,Yes,No,26,No,DSL,No,Monthly,Check,45.8,1147,No
0129-KPTWJ,Male,Yes,No,No,72,Yes,Fiber,Yes,Monthly,eCheck,94.65,6747.35,No
0129-QMPDR,Male,Yes,Yes,No,44,Yes,No,Yes,Annually,Wire (auto),20.5,865.05,No
0130-SXOUN,Male,No,No,No,66,Yes,Fiber,No,Monthly,Credit (auto),89.4,5976.9,No
0133-BMFZO,Female,No,No,No,2,Yes,Fiber,Yes,Monthly,eCheck,86.25,181.65,Yes
0134-XWXCE,Female,No,No,Yes,44,Yes,DSL,No,Annually,Wire (auto),74.85,3268.05,No
0135-NMXAP,Female,No,No,No,12,Yes,Fiber,Yes,Monthly,Wire (auto),89.75,1052.4,Yes
0136-IFMYD,Male,Yes,No,Yes,69,Yes,Fiber,Yes,Biannually,eCheck,109.95,7634.25,No
0137-OCGAB,Female,No,No,No,1,Yes,Fiber,Yes,Monthly,Check,80.2,80.2,Yes
0137-UDEUO,Female,No,No,No,3,Yes,No,No,Monthly,Check,19.85,63.75,Yes
0139-IVFJG,Female,Yes,No,No,2,Yes,Fiber,No,Monthly,eCheck,90.35,190.5,No
0141-YEAYS,Female,No,No,Yes,27,Yes,Fiber,Yes,Monthly,Wire (auto),86.45,2401.05,No
0142-GVYSN,Male,No,No,No,26,Yes,No,Yes,Monthly,eCheck,20.3,511.25,No
0147-ESWWR,Female,Yes,No,Yes,39,Yes,Fiber,Yes,Monthly,eCheck,101.25,3949.15,No
0148-DCDOS,Male,No,No,No,25,Yes,Fiber,Yes,Monthly,Wire (auto),94.7,2362.1,Yes
0151-ONTOV,Female,No,No,No,1,Yes,Fiber,No,Monthly,Check,70.9,70.9,Yes
0156-FVPTA,Male,Yes,No,No,22,Yes,DSL,Yes,Monthly,eCheck,54.2,1152.7,Yes
0164-APGRB,Female,No,No,No,72,Yes,Fiber,Yes,Biannually,eCheck,114.9,8496.7,No
0164-XAIRP,Female,No,No,No,24,Yes,No,Yes,Biannually,Wire (auto),19.55,470.2,No
0168-XZKBB,Female,Yes,No,No,19,Yes,Fiber,Yes,Monthly,eCheck,86.85,1564.4,No
0174-QRVVY,Male,Yes,Yes,No,71,Yes,No,No,Biannually,Credit (auto),25.35,1847.55,No
0177-PXBAT,Male,Yes,No,Yes,33,Yes,Fiber,Yes,Monthly,Wire (auto),109.9,3694.7,No
0178-CIIKR,Female,No,No,No,3,Yes,No,No,Monthly,Check,19.95,58,No
0178-SZBHO,Male,Yes,Yes,No,47,Yes,Fiber,No,Monthly,eCheck,87.2,4017.45,No
0181-RITDD,Male,Yes,Yes,No,62,Yes,Fiber,No,Biannually,Check,108.15,6825.65,No
0186-CAERR,Male,No,No,No,71,Yes,Fiber,Yes,Annually,Wire (auto),116.3,8309.55,No
0187-QSXOE,Male,Yes,No,Yes,7,Yes,Fiber,Yes,Monthly,eCheck,89,605.45,No
0187-WZNAB,Female,Yes,Yes,No,27,Yes,Fiber,No,Monthly,Check,74.4,1972.35,No
0188-GWFLE,Male,No,No,No,2,Yes,No,No,Monthly,Check,20.05,33.7,No
0191-EQUUH,Female,No,Yes,No,25,No,DSL,No,Biannually,Wire (auto),35.05,844.45,No
0191-ZHSKZ,Male,No,No,Yes,30,Yes,DSL,Yes,Monthly,eCheck,74.75,2111.3,No
0193-ESZXP,Female,Yes,No,Yes,58,Yes,Fiber,Yes,Annually,Credit (auto),105.5,6205.5,Yes
0195-IESCP,Male,Yes,No,No,10,Yes,Fiber,Yes,Monthly,eCheck,85.25,855.3,Yes
0196-JTUQI,Female,No,No,No,9,Yes,Fiber,Yes,Monthly,Credit (auto),75.2,633.85,No
0196-VULGZ,Female,Yes,No,Yes,6,Yes,Fiber,Yes,Monthly,eCheck,84.35,474.9,Yes
0197-PNKNK,Female,Yes,Yes,No,69,Yes,Fiber,No,Annually,Wire (auto),84.45,5848.6,No
0201-MIBOL,Female,No,No,Yes,66,Yes,Fiber,Yes,Biannually,Wire (auto),102.4,6471.85,No
0201-OAMXR,Female,No,No,No,70,Yes,Fiber,No,Annually,Credit (auto),115.55,8127.6,Yes
0203-HHYIJ,Male,No,No,No,25,Yes,No,No,Annually,Wire (auto),25.3,676.35,Yes
0206-OYVOC,Female,Yes,Yes,No,46,Yes,No,Yes,Biannually,Check,19.25,864.2,No
0206-TBWLC,Female,Yes,No,No,54,Yes,Fiber,Yes,Annually,Check,114.65,6049.5,No
0207-MDKNV,Female,No,No,No,15,Yes,Fiber,No,Monthly,eCheck,105.1,1582.75,Yes
0208-BPQEJ,Female,Yes,Yes,No,12,Yes,No,No,Monthly,Wire (auto),19.4,198.1,No
0212-ISBBF,Female,No,No,No,22,No,DSL,Yes,Monthly,eCheck,50.35,1098.85,No
0214-JHPFW,Female,Yes,No,No,70,No,DSL,No,Biannually,Wire (auto),57.8,4039.3,No
0215-BQKGS,Male,No,No,No,30,Yes,Fiber,Yes,Monthly,Credit (auto),84.3,2438.6,No
0218-QNVAS,Male,Yes,Yes,No,71,Yes,Fiber,No,Annually,Wire (auto),100.55,7113.75,No
0219-QAERP,Male,Yes,No,No,30,Yes,No,No,Annually,Credit (auto),19.8,576.65,No
0219-YTZUE,Male,Yes,Yes,No,4,Yes,Fiber,Yes,Monthly,Wire (auto),84.8,371.9,Yes
0220-EBGCE,Male,No,No,No,2,Yes,Fiber,Yes,Monthly,eCheck,85.85,167.3,Yes
0221-NAUXK,Male,No,Yes,No,10,Yes,No,Yes,Annually,Wire (auto),19.95,219.5,No
0221-WMXNQ,Male,No,No,Yes,4,Yes,Fiber,No,Monthly,eCheck,75.35,273.4,No
0222-CNVPT,Male,No,No,Yes,52,No,DSL,Yes,Monthly,Credit (auto),48.8,2555.05,No
0224-HJAPT,Male,No,No,No,5,Yes,DSL,No,Monthly,eCheck,47.15,223.15,Yes
0224-NIJLP,Male,Yes,Yes,No,8,Yes,No,No,Biannually,Check,20.15,165.5,No
0224-RLWWD,Female,No,No,Yes,2,Yes,DSL,Yes,Monthly,eCheck,44.3,89.3,No
0225-ZORZP,Male,No,No,No,3,Yes,Fiber,No,Monthly,eCheck,84.3,235.05,No
0228-MAUWC,Male,No,No,No,19,Yes,DSL,No,Monthly,eCheck,59.55,1144.6,No
0229-LFJAF,Male,No,No,No,72,Yes,DSL,No,Biannually,Wire (auto),69.65,4908.25,No
0230-UBYPQ,Male,Yes,No,Yes,63,No,DSL,No,Annually,Wire (auto),36.1,2298.9,No
0230-WEQUW,Male,Yes,No,No,66,No,DSL,Yes,Biannually,Wire (auto),56.6,3789.2,No
0231-LXVAP,Male,No,No,No,1,Yes,Fiber,Yes,Monthly,eCheck,75.9,75.9,Yes
0233-FTHAV,Female,No,No,No,60,Yes,Fiber,Yes,Annually,Wire (auto),79.2,4765,No
0234-TEVTT,Female,Yes,Yes,No,48,No,DSL,No,Annually,Credit (auto),45,2196.3,No
0235-KGSLC,Female,No,No,No,1,Yes,Fiber,Yes,Monthly,Credit (auto),85.55,85.55,Yes
0236-HFWSV,Male,No,No,No,15,Yes,Fiber,Yes,Monthly,eCheck,93.35,1444.65,Yes
0237-YFUTL,Female,Yes,No,No,50,Yes,Fiber,Yes,Monthly,Wire (auto),109.65,5405.8,No
0238-WHBIQ,Male,Yes,Yes,No,72,Yes,DSL,No,Biannually,Credit (auto),89.7,6339.3,No
0239-OXEXL,Female,No,No,No,46,Yes,Fiber,No,Monthly,Check,84.25,3847.6,No
0244-LGNFY,Female,Yes,Yes,No,72,Yes,DSL,No,Biannually,Wire (auto),92.65,6733,No
0247-SLUJI,Male,Yes,Yes,No,1,Yes,No,No,Monthly,Check,19.7,19.7,No
0248-IPDFW,Female,No,No,No,1,Yes,DSL,Yes,Monthly,eCheck,50.1,50.1,No
0248-PGHBZ,Female,No,No,Yes,67,Yes,Fiber,Yes,Biannually,Wire (auto),92.45,6140.85,No
0253-ZTEOB,Female,Yes,Yes,No,48,Yes,DSL,No,Biannually,eCheck,79.65,3870.3,No
0254-FNMCI,Female,No,No,No,72,Yes,Fiber,Yes,Biannually,eCheck,109.9,7624.2,No
0254-KCJGT,Male,Yes,No,No,52,Yes,DSL,Yes,Annually,Credit (auto),81.4,4354.45,No
0254-WWRKD,Female,Yes,Yes,No,67,Yes,DSL,No,Annually,Credit (auto),50.55,3431.75,No
0256-LTHVJ,Female,Yes,Yes,No,28,Yes,Fiber,Yes,Monthly,eCheck,81.05,2227.1,Yes
0257-KXZGU,Female,Yes,Yes,No,32,Yes,DSL,No,Monthly,Wire (auto),62.45,2045.55,No
0257-ZESQC,Female,Yes,No,Yes,27,Yes,Fiber,Yes,Monthly,Wire (auto),75.2,1929.35,Yes
0258-NOKBL,Male,No,No,No,3,Yes,Fiber,No,Monthly,eCheck,90.4,268.45,No
0259-GBZSH,Male,No,No,No,2,Yes,Fiber,Yes,Monthly,eCheck,85.65,181.5,Yes
0260-ZDLGK,Female,No,Yes,No,9,Yes,DSL,Yes,Monthly,Check,72.9,651.4,Yes
0263-FJTQO,Male,Yes,Yes,No,50,Yes,DSL,Yes,Biannually,Credit (auto),70.5,3486.65,No
0264-CNITK,Female,Yes,Yes,No,71,Yes,No,No,Biannually,Wire (auto),20.1,1389.6,No
0265-EDXBD,Male,Yes,No,Yes,32,Yes,Fiber,Yes,Monthly,eCheck,74.9,2303.35,Yes
0265-PSUAE,Female,Yes,Yes,No,16,Yes,Fiber,No,Monthly,Wire (auto),100.7,1522.7,No
0266-CLZKZ,Female,Yes,Yes,No,67,Yes,Fiber,Yes,Biannually,Wire (auto),105.65,6717.9,No
0266-GMEAO,Male,Yes,Yes,No,72,Yes,Fiber,Yes,Biannually,Credit (auto),114.3,8058.55,No
0268-QKIWO,Female,No,No,No,3,Yes,No,No,Monthly,eCheck,19.75,58.85,Yes
0269-XFESX,Male,Yes,Yes,No,23,Yes,No,No,Annually,Check,24.35,538.5,No
0270-THENM,Male,Yes,Yes,No,72,Yes,DSL,No,Biannually,Wire (auto),69.85,5102.35,No
0274-JKUJR,Male,Yes,Yes,No,7,No,DSL,No,Monthly,Check,58.85,465.7,No
0277-BKSQP,Male,Yes,Yes,No,8,Yes,DSL,Yes,Monthly,eCheck,54.4,475.1,No
0277-ORXQS,Male,Yes,Yes,No,66,No,DSL,No,Biannually,Wire (auto),50.55,3364.55,No
0278-YXOOG,Male,No,No,No,5,Yes,No,No,Monthly,Check,21.05,113.85,Yes
0280-XJGEX,Male,No,No,No,49,Yes,Fiber,Yes,Monthly,Wire (auto),103.7,5036.3,Yes
0281-CNTZX,Male,Yes,No,No,63,Yes,No,Yes,Biannually,Wire (auto),19.95,1234.8,No
0282-NVSJS,Female,Yes,Yes,Yes,12,No,DSL,Yes,Monthly,Check,29.3,355.9,No
0285-INHLN,Male,Yes,Yes,No,27,Yes,DSL,Yes,Monthly,Credit (auto),54.75,1510.3,No
0289-IVARM,Female,No,No,No,35,Yes,DSL,No,Monthly,eCheck,60.55,1982.6,No
0292-WEGCH,Female,Yes,Yes,No,54,Yes,DSL,Yes,Monthly,eCheck,86.2,4524.05,No
0295-PPHDO,Male,No,No,No,1,Yes,Fiber,Yes,Monthly,eCheck,95.45,95.45,Yes
0295-QVKPB,Male,No,No,No,5,Yes,DSL,Yes,Monthly,Credit (auto),63.95,318.1,No
0297-RBCSG,Male,No,No,No,19,Yes,DSL,Yes,Annually,Wire (auto),65.35,1231.85,No
0298-XACET,Male,Yes,Yes,No,52,No,DSL,No,Biannually,Check,50.2,2554,No
0301-FIDRB,Female,Yes,Yes,No,72,No,DSL,Yes,Biannually,Wire (auto),63.8,4684.3,No
0301-KOBTQ,Male,No,No,No,32,Yes,No,Yes,Biannually,Wire (auto),20.05,614.45,No
0302-JOIVN,Female,Yes,No,No,8,Yes,Fiber,No,Monthly,eCheck,101.15,842.9,Yes
0303-UNCIP,Male,No,No,No,41,Yes,DSL,No,Annually,Check,65,2531.8,No
0303-WMMRN,Male,No,No,No,5,Yes,No,Yes,Monthly,Check,19.25,86.05,No
0305-SQECB,Female,No,Yes,No,11,No,DSL,Yes,Annually,Check,36.05,402.6,No
0306-JAELE,Male,No,No,No,5,Yes,Fiber,Yes,Monthly,eCheck,96.1,453.4,Yes
0307-BCOPK,Female,No,No,No,16,Yes,No,No,Annually,Check,19.05,326.65,No
0308-GIQJT,Male,No,No,Yes,71,Yes,Fiber,No,Annually,Wire (auto),105.75,7382.85,No
0308-IVGOK,Female,No,No,No,11,No,DSL,Yes,Annually,Credit (auto),40.4,422.6,No
0310-MVLET,Female,Yes,Yes,No,61,Yes,Fiber,Yes,Monthly,eCheck,99.15,6010.05,Yes
0310-SUCIN,Female,Yes,No,No,71,Yes,DSL,Yes,Annually,Wire (auto),84.8,6046.1,No
0310-VQXAM,Male,No,No,No,9,Yes,No,No,Monthly,Check,19.85,178.8,No
0311-QYWSS,Female,No,No,No,6,Yes,DSL,Yes,Monthly,eCheck,49.45,314.6,No
0311-UNPFF,Female,No,No,No,26,Yes,Fiber,Yes,Monthly,Wire (auto),88.8,2274.35,Yes
0314-TKOSI,Female,No,No,No,6,Yes,DSL,No,Monthly,Check,55.15,322.9,No
0315-LVCRK,Male,No,No,No,11,Yes,Fiber,No,Monthly,eCheck,84.8,888.75,No
0318-QUUOB,Male,Yes,No,No,1,Yes,Fiber,Yes,Monthly,eCheck,80.55,80.55,Yes
0318-ZOPWS,Female,Yes,No,No,49,Yes,No,Yes,Biannually,Wire (auto),20.15,973.35,No
0319-QZTCO,Female,Yes,Yes,No,3,Yes,DSL,Yes,Monthly,Credit (auto),58.7,168.6,No
0320-DWVTU,Female,No,No,No,53,Yes,Fiber,No,Biannually,Check,99.5,5424.25,No
0320-JDNQG,Male,Yes,Yes,No,23,Yes,Fiber,Yes,Monthly,eCheck,99.85,2331.3,Yes
0322-CHQRU,Male,No,No,No,2,Yes,DSL,No,Monthly,eCheck,45.35,89.5,Yes
0322-YINQP,Male,No,No,No,1,Yes,DSL,Yes,Monthly,Check,48.55,48.55,Yes
0323-XWWTN,Male,No,Yes,No,3,Yes,No,Yes,Biannually,Check,26.4,121.25,No
0324-BRPCJ,Female,Yes,No,Yes,68,Yes,Fiber,Yes,Monthly,eCheck,100.2,6851.65,Yes
0325-XBFAC,Male,No,No,No,8,Yes,Fiber,Yes,Monthly,eCheck,94.7,740.3,Yes
0326-VDYXE,Female,Yes,No,No,70,Yes,Fiber,Yes,Annually,eCheck,97.65,6982.5,No
0327-WFZSY,Male,Yes,Yes,No,39,Yes,Fiber,No,Annually,eCheck,100,3835.55,No
0328-GRPMV,Female,No,No,No,1,Yes,Fiber,Yes,Monthly,eCheck,70.1,70.1,Yes
0329-GTIAJ,Female,No,No,No,3,Yes,Fiber,Yes,Monthly,eCheck,97.9,315.3,Yes
0330-BGYZE,Male,Yes,No,No,60,Yes,Fiber,No,Annually,Wire (auto),102.5,6157.6,No
0330-IVZHA,Female,Yes,No,No,5,Yes,Fiber,No,Monthly,eCheck,69.95,330.15,Yes
0334-GDDSO,Male,No,No,Yes,3,Yes,Fiber,Yes,Monthly,eCheck,81.35,233.7,Yes
0334-ZFJSR,Female,Yes,No,No,55,Yes,DSL,Yes,Annually,Credit (auto),66.05,3462.1,No
0336-KXKFK,Male,No,No,No,72,No,DSL,Yes,Biannually,Credit (auto),61.2,4390.25,No
0336-PIKEI,Male,Yes,No,Yes,72,Yes,DSL,No,Biannually,Wire (auto),74.4,5360.75,No
0337-CNPZE,Female,No,No,No,41,Yes,Fiber,Yes,Monthly,eCheck,106.3,4443.45,Yes
0343-QLUZP,Male,No,No,No,60,No,DSL,No,Biannually,Wire (auto),39.6,2424.5,No
0345-HKJVM,Female,No,No,No,6,Yes,Fiber,No,Monthly,eCheck,89.3,577.6,Yes
0345-XMMUG,Female,Yes,No,No,46,Yes,Fiber,Yes,Biannually,Credit (auto),108.9,4854.3,No
0347-UBKUZ,Female,No,No,No,15,Yes,No,No,Monthly,Check,19.9,320.45,No
0348-SDKOL,Female,Yes,No,No,58,Yes,Fiber,Yes,Monthly,Credit (auto),102.1,5885.4,Yes
0354-VXMJC,Male,Yes,Yes,No,23,Yes,No,No,Biannually,Credit (auto),19.6,426.65,No
0354-WYROK,Female,Yes,Yes,Yes,31,Yes,Fiber,Yes,Monthly,eCheck,98.9,2911.3,Yes
0356-ERHVT,Male,Yes,No,No,11,Yes,DSL,Yes,Monthly,Wire (auto),45.9,521.9,No
0356-OBMAC,Female,No,No,Yes,56,Yes,Fiber,Yes,Biannually,Wire (auto),99.9,5706.3,No
0357-NVCRI,Female,No,Yes,No,25,Yes,No,No,Monthly,Credit (auto),20.05,471.7,No
0361-HJRDX,Female,No,No,No,68,No,DSL,No,Biannually,Credit (auto),64.35,4539.6,No
0362-RAOQO,Female,No,No,No,40,Yes,No,No,Biannually,Credit (auto),19.65,830.25,No
0362-ZBZWJ,Male,No,No,No,36,Yes,Fiber,Yes,Monthly,eCheck,84.9,3067.2,Yes
0363-QJVFX,Male,No,No,No,32,Yes,Fiber,Yes,Monthly,Credit (auto),108.15,3432.9,Yes
0363-SVHYR,Male,Yes,Yes,No,71,Yes,DSL,No,Biannually,Wire (auto),86.85,6263.8,No
0365-BZUWY,Male,Yes,No,No,17,Yes,Fiber,Yes,Monthly,eCheck,102.55,1742.5,No
0365-GXEZS,Male,Yes,No,No,18,Yes,Fiber,No,Monthly,eCheck,78.2,1468.75,No
0365-TRTPY,Female,No,No,No,37,Yes,Fiber,No,Monthly,Wire (auto),91.2,3382.3,No
0366-NQSHS,Male,No,No,No,2,Yes,No,No,Monthly,Check,19.35,46.35,No
0369-ZGOVK,Female,Yes,Yes,No,28,Yes,Fiber,Yes,Annually,Wire (auto),70.4,1992.2,No
0373-AIVNJ,Male,No,No,No,9,No,DSL,No,Annually,Check,39.55,373,No
0374-AACSZ,Female,No,No,No,1,Yes,DSL,No,Monthly,eCheck,50.15,50.15,No
0374-FIUCA,Male,Yes,No,No,65,Yes,No,Yes,Biannually,Credit (auto),20.4,1414.45,No
0374-IOEGQ,Female,No,No,No,3,Yes,DSL,No,Monthly,eCheck,44.6,122.7,No
0375-HVGXO,Female,No,No,No,1,No,DSL,Yes,Monthly,eCheck,34.7,34.7,Yes
0376-OIWME,Male,Yes,No,No,36,Yes,Fiber,Yes,Monthly,eCheck,93.6,3366.05,No
0376-YMCJC,Male,No,No,No,23,Yes,Fiber,Yes,Monthly,eCheck,90.6,1943.2,Yes
0377-JBKKT,Male,Yes,Yes,No,22,Yes,DSL,Yes,Monthly,Check,57.95,1271.8,No
0378-CJKPV,Female,Yes,No,No,72,Yes,Fiber,No,Biannually,Credit (auto),112.1,7965.95,No
0378-NHQXU,Female,Yes,Yes,No,17,Yes,Fiber,No,Monthly,eCheck,88.25,1460.65,Yes
0378-TOVMS,Female,No,No,No,3,Yes,Fiber,No,Monthly,eCheck,85.8,272.2,Yes
0378-XSZPU,Male,Yes,No,No,58,Yes,DSL,No,Annually,Credit (auto),60.3,3563.8,Yes
0379-DJQHR,Male,Yes,Yes,No,67,Yes,DSL,No,Biannually,Credit (auto),81.35,5398.6,No
